assumed_initial_effect_delta,age_stage,baseline_occupancy_point,envelope_lower_point,envelope_upper_point,envelope_lower_bootstrap_ci95_low,envelope_lower_bootstrap_ci95_high,envelope_upper_bootstrap_ci95_low,envelope_upper_bootstrap_ci95_high,bootstrap_replicates
0.1,3-5,0.12695163057339606,0.22695163057339607,0.22695163057339607,0.17837649955624738,0.27795697741920283,0.17837649955624738,0.27795697741920283,999
0.1,6-10,0.46152559326289155,0.4086619021519386,0.5232030931121571,0.3675060731090689,0.4482015868625692,0.4819067489057341,0.5617577093672027,999
0.1,11-14,0.5139052009629799,0.4550418872040297,0.5695830781642482,0.41538375321612697,0.5011349596824615,0.5290195950828225,0.6092131592620541,999
0.1,15-17,0.3296944735154114,0.29193087586595395,0.3696185979404735,0.25272799783146827,0.32927238563645644,0.3210986355503966,0.4214250235505009,999
