age_band_specification,age_stage,lower_age,upper_age,weighted_occupancy,counterfactual_lower,counterfactual_upper,increment_lower,increment_upper,assumed_initial_effect_delta
primary specification,3-5,3,5,0.12695163057339606,0.22695163057339607,0.22695163057339607,0.1,0.1,0.1
primary specification,6-10,6,10,0.46152559326289155,0.4086619021519386,0.5232030931121571,-0.05286369111095296,0.061677499849265516,0.1
primary specification,11-14,11,14,0.5139052009629799,0.4550418872040297,0.5695830781642482,-0.05886331375895015,0.05567787720126838,0.1
primary specification,15-17,15,17,0.3296944735154114,0.29193087586595395,0.3696185979404735,-0.03776359764945747,0.0399241244250621,0.1
one-year shifted 6-14 boundary,3-5,3,5,0.12695163057339606,0.22695163057339607,0.22695163057339607,0.1,0.1,0.1
one-year shifted 6-14 boundary,6-11,6,11,0.4809056564946291,0.42582214986022854,0.5403633408204471,-0.055083506634400536,0.05945768432581805,0.1
one-year shifted 6-14 boundary,12-14,12,14,0.49645960780011933,0.43959453305905055,0.5541357240192692,-0.05686507474106878,0.05767611621914992,0.1
one-year shifted 6-14 boundary,15-17,15,17,0.3296944735154114,0.2919308758659539,0.36799667670077546,-0.037763597649457525,0.03830220318536404,0.1
